image,level,kernel,method,psnr,stripe_score,edge_iou,line_iou,det_f1
00a0f008-a315437f.jpg,0,5,wiener_tuned,35.574689398236046,2.440520046864034,0.8451023993369869,0.5966060348942037,0.3749999999999999
00a0f008-a315437f.jpg,0,5,richardson_lucy,33.62761574825126,2.495022337314513,0.7884603057127373,0.553388882250057,0.3333333333333332
00a0f008-a315437f.jpg,1,9,distorted,28.940103402021947,0.8437912924653959,0.5744783046492518,0.4346978108908897,0.2758620689655172
00a0f008-a315437f.jpg,1,9,wiener_fixed,30.44965415143135,3.620748108617416,0.6999323602154146,0.5030056501470749,0.2666666666666666
00a0f008-a315437f.jpg,1,9,wiener_tuned,30.870647435055275,2.7499980219879903,0.7042012755046133,0.5113680513466051,0.2758620689655172
00a0f008-a315437f.jpg,1,9,richardson_lucy,29.58651203460177,1.9973672305686352,0.6104729268181611,0.4394498490439449,0.2758620689655172
00a0f008-a315437f.jpg,2,15,distorted,26.3913878105774,0.7005903338139553,0.4070913587126885,0.3009656025967354,0.2222222222222222
00a0f008-a315437f.jpg,2,15,wiener_fixed,24.863382502347665,5.044324771695073,0.5651671221357999,0.3617896826752613,0.2142857142857142
00a0f008-a315437f.jpg,2,15,wiener_tuned,27.49580309287388,2.334533248987676,0.4991623030859317,0.340144304574762,0.1428571428571428
00a0f008-a315437f.jpg,2,15,richardson_lucy,26.9559325989292,1.5853688080416777,0.44747260577017,0.2766385658969663,0.2307692307692307
00a0f008-a315437f.jpg,3,21,distorted,24.99705976813652,0.5968513147307785,0.3141453265232954,0.261371227658951,0.0909090909090909
00a0f008-a315437f.jpg,3,21,wiener_fixed,20.82818457694076,6.112171222010614,0.4975750313819468,0.3156593589658159,0.1481481481481481
00a0f008-a315437f.jpg,3,21,wiener_tuned,25.38348358228676,2.4054793538451986,0.3800030125667068,0.2563785505653426,0.1481481481481481
00a0f008-a315437f.jpg,3,21,richardson_lucy,25.46509836531444,1.3492285297244442,0.3510601461235702,0.2627002884947827,0.0909090909090909
00a0f008-a315437f.jpg,4,31,distorted,23.54390991601408,0.4734596298142945,0.2050895687253866,0.1995541985441796,0.0869565217391304
00a0f008-a315437f.jpg,4,31,wiener_fixed,15.017287946635625,8.387656506942355,0.4046908080299571,0.2846899355734211,0.0
00a0f008-a315437f.jpg,4,31,wiener_tuned,22.98542954947898,2.419984788182751,0.2162615996464869,0.1734193920677071,0.16
00a0f008-a315437f.jpg,4,31,richardson_lucy,23.91065533114057,1.1176850298432657,0.2446087419412078,0.226318745558332,0.0909090909090909
00a1176f-0652080e.jpg,0,5,distorted,32.767650035171044,0.6055843904071527,0.7504951709047009,0.5501527517322135,0.7000000000000001
00a1176f-0652080e.jpg,0,5,wiener_fixed,34.024401288623814,0.8205486570924732,0.8324713351394248,0.6544629386785278,0.6
00a1176f-0652080e.jpg,0,5,wiener_tuned,34.024401288623814,0.8205486570924732,0.8324713351394248,0.6544629386785278,0.6
00a1176f-0652080e.jpg,0,5,richardson_lucy,32.53283290154243,3.27050067903324,0.7815841584158416,0.5725688682376369,0.7000000000000001
00a1176f-0652080e.jpg,1,9,distorted,29.3675049624016,0.4709986796615172,0.5652891256053466,0.4309894810353105,0.6666666666666665
00a1176f-0652080e.jpg,1,9,wiener_fixed,28.504397488617144,0.8262453444373014,0.6900686958402893,0.5239540734913202,0.5263157894736842
00a1176f-0652080e.jpg,1,9,wiener_tuned,29.54929516663578,0.7396203590090639,0.6677117605315787,0.5207850604059057,0.6
00a1176f-0652080e.jpg,1,9,richardson_lucy,29.39381613528776,2.5252950427457725,0.6006109841370415,0.4358795791310768,0.7777777777777778
00a1176f-0652080e.jpg,2,15,distorted,27.108722772804786,0.3536023953635606,0.4395435959416344,0.366101159530923,0.5882352941176471
00a1176f-0652080e.jpg,2,15,wiener_fixed,22.612110698385823,0.8430551251127699,0.5658624150571442,0.409526355379556,0.5555555555555556
00a1176f-0652080e.jpg,2,15,wiener_tuned,26.44867848095441,0.5888709321597373,0.4762478605609696,0.3537638569211806,0.5555555555555556
00a1176f-0652080e.jpg,2,15,richardson_lucy,26.98093090860557,1.985560115325115,0.4714761004981511,0.3301414617434972,0.5882352941176471
00a1176f-0652080e.jpg,3,21,distorted,25.76838035908402,0.2899753510476773,0.3671182604402923,0.3479986388003765,0.5333333333333333
00a1176f-0652080e.jpg,3,21,wiener_fixed,18.756668339504685,0.9355045581423616,0.4996665034778923,0.3511835654023642,0.5882352941176471
00a1176f-0652080e.jpg,3,21,wiener_tuned,24.20207114539556,0.5853031877087259,0.3663472012368671,0.2796565733384033,0.3749999999999999
00a1176f-0652080e.jpg,3,21,richardson_lucy,25.62408130626183,1.6879776578695445,0.400403697982877,0.3183848126904017,0.4285714285714285
00a1176f-0652080e.jpg,4,31,distorted,24.45555053115562,0.2187056404978286,0.3064604932856783,0.3059146238413638,0.4285714285714285
00a1176f-0652080e.jpg,4,31,wiener_fixed,13.16607911624522,1.2626890412895928,0.4063978977940668,0.290672928223827,0.0
00a1176f-0652080e.jpg,4,31,wiener_tuned,21.608756998125045,0.5141509302758748,0.2634817945090689,0.2284934868950192,0.3999999999999999
00a1176f-0652080e.jpg,4,31,richardson_lucy,24.0758151790013,1.392874490501439,0.3389672831773635,0.3209952246353377,0.4285714285714285
00a1176f-5121b501.jpg,0,5,distorted,28.89083562642105,1.125418966591793,0.7040749271288778,0.5400728597449909,0.2068965517241379
